

=== 监控会话开始于 2025-09-22 10:54:07 ===
[2025-09-22 10:54:18] 监控已启动
[2025-09-22 11:16:04] [DEBUG] 心跳维持正常
[2025-09-22 11:16:14] [DEBUG] 心跳维持正常
[2025-09-22 11:16:24] [DEBUG] 心跳维持正常
[2025-09-22 11:16:34] [DEBUG] 心跳维持正常
[2025-09-22 11:16:44] [DEBUG] 心跳维持正常
[2025-09-22 11:16:54] [DEBUG] 心跳维持正常
[2025-09-22 11:16:58] [DEBUG] 收到完整消息: {"op":"block","x":{"txIndexes":[],"nTx":2267,"estimatedBTCSent":0,"totalBTCSent":0,"reward":315997979,"size":1378224,"weight":3992640,"blockIndex":915826,"prevBlockIndex":915825,"height":915826,"hash":"0000000000000000000183425aa05e475ec8e6e3e5c59e613b0445d31b8dacd7","mrklRoot":"420c5cd1ceef3a124055f9129a9976c7d4cdb69230f1b31fc91bed1f869e982b","difficulty":0.0,"version":622632960,"time":1758511009,"bits":386005560,"nonce":3845927621,"foundBy":{"description":"","ip":"","link":"","time":0}}}
[2025-09-22 11:16:58] [DEBUG] 成功写入日志: 0000000000000000000183425aa05e475ec8e6e3e5c59e613b0445d31b8dacd7|915826|0x251ca000|915825|420c5cd1ceef3a124055f9129a9976c7d4cdb69230f1b31fc91bed1f869e982b|2025-09-22 11:16:49|0x1701fa38|3845927621|2025-09-22 11:16:58
[2025-09-22 11:16:59] [DEBUG] 成功处理区块 #915826
[2025-09-22 11:17:04] [DEBUG] 心跳维持正常
[2025-09-22 11:17:14] [DEBUG] 心跳维持正常
[2025-09-22 11:17:24] [DEBUG] 心跳维持正常
[2025-09-22 11:17:34] [DEBUG] 心跳维持正常
[2025-09-22 11:17:44] [DEBUG] 心跳维持正常
[2025-09-22 11:17:54] [DEBUG] 心跳维持正常
[2025-09-22 11:18:04] [DEBUG] 心跳维持正常
[2025-09-22 11:18:14] [DEBUG] 心跳维持正常
[2025-09-22 11:18:24] [DEBUG] 心跳维持正常
[2025-09-22 11:18:34] [DEBUG] 心跳维持正常
[2025-09-22 11:18:44] [DEBUG] 心跳维持正常
[2025-09-22 11:18:54] [DEBUG] 心跳维持正常
[2025-09-22 11:19:04] [DEBUG] 心跳维持正常
[2025-09-22 11:19:14] [DEBUG] 心跳维持正常
[2025-09-22 11:19:24] [DEBUG] 心跳维持正常
[2025-09-22 11:19:34] [DEBUG] 心跳维持正常
[2025-09-22 11:19:44] [DEBUG] 心跳维持正常
[2025-09-22 11:19:54] [DEBUG] 心跳维持正常
[2025-09-22 11:20:04] [DEBUG] 心跳维持正常
[2025-09-22 11:20:09] 连接异常: no close frame received or sent，2.7秒后重试...
[2025-09-22 11:20:12] 尝试连接端点: wss://blockchain.info/ws
[2025-09-22 11:20:13] 连接异常: https://www.blockchain.com/ws isn't a valid URI: scheme isn't ws or wss，4.5秒后重试...
[2025-09-22 11:20:14] [ERROR] 连接已断开，停止心跳
[2025-09-22 11:20:18] 尝试连接端点: wss://ws.blockchain.info/inv
[2025-09-22 11:20:19] 区块订阅成功
[2025-09-22 11:20:29] [DEBUG] 心跳维持正常
[2025-09-22 11:20:39] [DEBUG] 心跳维持正常
[2025-09-22 11:20:49] [DEBUG] 心跳维持正常
[2025-09-22 11:20:59] [DEBUG] 心跳维持正常
[2025-09-22 11:21:09] [DEBUG] 心跳维持正常
[2025-09-22 11:21:19] [DEBUG] 心跳维持正常
[2025-09-22 11:21:29] [DEBUG] 心跳维持正常
[2025-09-22 11:21:39] [DEBUG] 心跳维持正常
[2025-09-22 11:21:49] [DEBUG] 心跳维持正常
[2025-09-22 11:21:59] [DEBUG] 心跳维持正常
[2025-09-22 11:22:09] [DEBUG] 心跳维持正常
[2025-09-22 11:22:19] [DEBUG] 心跳维持正常
[2025-09-22 11:22:29] [DEBUG] 心跳维持正常
[2025-09-22 11:22:39] [DEBUG] 心跳维持正常
[2025-09-22 11:22:49] [DEBUG] 心跳维持正常
[2025-09-22 11:22:59] [DEBUG] 心跳维持正常
[2025-09-22 11:23:09] [DEBUG] 心跳维持正常
[2025-09-22 11:23:19] [DEBUG] 心跳维持正常
[2025-09-22 11:23:29] [DEBUG] 心跳维持正常
[2025-09-22 11:23:39] [DEBUG] 心跳维持正常
[2025-09-22 11:23:49] [DEBUG] 心跳维持正常
[2025-09-22 11:23:59] [DEBUG] 心跳维持正常
[2025-09-22 11:24:09] [DEBUG] 心跳维持正常
[2025-09-22 11:24:19] [DEBUG] 心跳维持正常
[2025-09-22 11:24:29] [DEBUG] 心跳维持正常
[2025-09-22 11:24:39] [DEBUG] 心跳维持正常
[2025-09-22 11:24:49] [DEBUG] 心跳维持正常
[2025-09-22 11:24:59] [DEBUG] 心跳维持正常
[2025-09-22 11:25:09] [DEBUG] 心跳维持正常
[2025-09-22 11:25:19] [DEBUG] 心跳维持正常
[2025-09-22 11:25:29] [DEBUG] 心跳维持正常
[2025-09-22 11:25:39] [DEBUG] 心跳维持正常
[2025-09-22 11:25:49] [DEBUG] 心跳维持正常
[2025-09-22 11:25:59] [DEBUG] 心跳维持正常
[2025-09-22 11:26:09] [DEBUG] 心跳维持正常
[2025-09-22 11:26:19] [DEBUG] 心跳维持正常
[2025-09-22 11:26:29] [DEBUG] 心跳维持正常
[2025-09-22 11:26:39] [DEBUG] 心跳维持正常
[2025-09-22 11:26:49] [DEBUG] 心跳维持正常
[2025-09-22 11:26:59] [DEBUG] 心跳维持正常
[2025-09-22 11:27:09] [DEBUG] 心跳维持正常
[2025-09-22 11:27:19] [DEBUG] 心跳维持正常
[2025-09-22 11:27:29] [DEBUG] 心跳维持正常
[2025-09-22 11:27:39] [DEBUG] 心跳维持正常
[2025-09-22 11:27:49] [DEBUG] 心跳维持正常
[2025-09-22 11:28:00] [DEBUG] 心跳维持正常
[2025-09-22 11:28:10] [DEBUG] 心跳维持正常
[2025-09-22 11:28:20] [DEBUG] 心跳维持正常
[2025-09-22 11:28:30] [DEBUG] 心跳维持正常
[2025-09-22 11:28:40] [DEBUG] 心跳维持正常
[2025-09-22 11:28:50] [DEBUG] 心跳维持正常
[2025-09-22 11:29:00] [DEBUG] 心跳维持正常
[2025-09-22 11:29:10] [DEBUG] 心跳维持正常
[2025-09-22 11:29:20] [DEBUG] 心跳维持正常
[2025-09-22 11:29:30] [DEBUG] 心跳维持正常
[2025-09-22 11:29:40] [DEBUG] 心跳维持正常
[2025-09-22 11:29:50] [DEBUG] 心跳维持正常
[2025-09-22 11:30:00] [DEBUG] 心跳维持正常
[2025-09-22 11:30:10] [DEBUG] 心跳维持正常
[2025-09-22 11:30:20] [DEBUG] 心跳维持正常
[2025-09-22 11:30:30] [DEBUG] 心跳维持正常
[2025-09-22 11:30:40] [DEBUG] 心跳维持正常
[2025-09-22 11:30:50] [DEBUG] 心跳维持正常
[2025-09-22 11:31:00] [DEBUG] 心跳维持正常
[2025-09-22 11:31:10] [DEBUG] 心跳维持正常
[2025-09-22 11:31:20] [DEBUG] 心跳维持正常
[2025-09-22 11:31:30] [DEBUG] 心跳维持正常
[2025-09-22 11:31:40] [DEBUG] 心跳维持正常
[2025-09-22 11:31:50] [DEBUG] 心跳维持正常
[2025-09-22 11:32:00] [DEBUG] 心跳维持正常
[2025-09-22 11:32:10] [DEBUG] 心跳维持正常
[2025-09-22 11:32:20] [DEBUG] 心跳维持正常
[2025-09-22 11:32:30] [DEBUG] 心跳维持正常
[2025-09-22 11:32:40] [DEBUG] 心跳维持正常
[2025-09-22 11:32:50] [DEBUG] 心跳维持正常
[2025-09-22 11:33:00] [DEBUG] 心跳维持正常
[2025-09-22 11:33:10] [DEBUG] 心跳维持正常
[2025-09-22 11:33:20] [DEBUG] 心跳维持正常
[2025-09-22 11:33:30] [DEBUG] 心跳维持正常
[2025-09-22 11:33:40] [DEBUG] 心跳维持正常
[2025-09-22 11:33:50] [DEBUG] 心跳维持正常
[2025-09-22 11:34:00] [DEBUG] 心跳维持正常
[2025-09-22 11:34:10] [DEBUG] 心跳维持正常
[2025-09-22 11:34:20] [DEBUG] 心跳维持正常
[2025-09-22 11:34:30] [DEBUG] 心跳维持正常
[2025-09-22 11:34:40] [DEBUG] 心跳维持正常
[2025-09-22 11:34:50] [DEBUG] 心跳维持正常
[2025-09-22 11:35:00] [DEBUG] 心跳维持正常
[2025-09-22 11:35:10] [DEBUG] 心跳维持正常
[2025-09-22 11:35:20] [DEBUG] 心跳维持正常
[2025-09-22 11:35:30] [DEBUG] 心跳维持正常
[2025-09-22 11:35:40] [DEBUG] 心跳维持正常
[2025-09-22 11:35:50] [DEBUG] 心跳维持正常
[2025-09-22 11:36:00] [DEBUG] 心跳维持正常
[2025-09-22 11:36:10] [DEBUG] 心跳维持正常
[2025-09-22 11:36:20] [DEBUG] 心跳维持正常
[2025-09-22 11:36:30] [DEBUG] 心跳维持正常
[2025-09-22 11:36:40] [DEBUG] 心跳维持正常
[2025-09-22 11:36:51] [DEBUG] 心跳维持正常
[2025-09-22 11:37:01] [DEBUG] 心跳维持正常
[2025-09-22 11:37:11] [DEBUG] 心跳维持正常
[2025-09-22 11:37:21] [DEBUG] 心跳维持正常
[2025-09-22 11:37:31] [DEBUG] 心跳维持正常
[2025-09-22 11:37:41] [DEBUG] 心跳维持正常
[2025-09-22 11:37:51] [DEBUG] 心跳维持正常
[2025-09-22 11:38:01] [DEBUG] 心跳维持正常
[2025-09-22 11:38:11] [DEBUG] 心跳维持正常
[2025-09-22 11:38:21] [DEBUG] 心跳维持正常
[2025-09-22 11:38:31] [DEBUG] 心跳维持正常
[2025-09-22 11:38:41] [DEBUG] 心跳维持正常
[2025-09-22 11:38:51] [DEBUG] 心跳维持正常
[2025-09-22 11:39:01] [DEBUG] 心跳维持正常
[2025-09-22 11:39:11] [DEBUG] 心跳维持正常
[2025-09-22 11:39:21] [DEBUG] 心跳维持正常
[2025-09-22 11:39:31] [DEBUG] 心跳维持正常
[2025-09-22 11:39:41] [DEBUG] 心跳维持正常
[2025-09-22 11:39:51] [DEBUG] 心跳维持正常
[2025-09-22 11:40:01] [DEBUG] 心跳维持正常
[2025-09-22 11:40:11] [DEBUG] 心跳维持正常
[2025-09-22 11:40:21] [DEBUG] 心跳维持正常
[2025-09-22 11:40:31] [DEBUG] 心跳维持正常
[2025-09-22 11:40:41] [DEBUG] 心跳维持正常
[2025-09-22 11:40:51] [DEBUG] 心跳维持正常
[2025-09-22 11:41:01] [DEBUG] 心跳维持正常
[2025-09-22 11:41:11] [DEBUG] 心跳维持正常
[2025-09-22 11:41:21] [DEBUG] 心跳维持正常
[2025-09-22 11:41:31] [DEBUG] 心跳维持正常
[2025-09-22 11:41:41] [DEBUG] 心跳维持正常
[2025-09-22 11:41:51] [DEBUG] 心跳维持正常
[2025-09-22 11:42:01] [DEBUG] 心跳维持正常
[2025-09-22 11:42:11] [DEBUG] 心跳维持正常
[2025-09-22 11:42:21] [DEBUG] 心跳维持正常
[2025-09-22 11:42:31] [DEBUG] 心跳维持正常
[2025-09-22 11:42:41] [DEBUG] 心跳维持正常
[2025-09-22 11:42:51] [DEBUG] 心跳维持正常
[2025-09-22 11:43:01] [DEBUG] 心跳维持正常
[2025-09-22 11:43:11] [DEBUG] 心跳维持正常
[2025-09-22 11:43:21] [DEBUG] 心跳维持正常
[2025-09-22 11:43:31] [DEBUG] 心跳维持正常
[2025-09-22 11:43:41] [DEBUG] 心跳维持正常
[2025-09-22 11:43:51] [DEBUG] 心跳维持正常
[2025-09-22 11:44:01] [DEBUG] 心跳维持正常
[2025-09-22 11:44:11] [DEBUG] 心跳维持正常
[2025-09-22 11:44:21] [DEBUG] 心跳维持正常
[2025-09-22 11:44:31] [DEBUG] 心跳维持正常
[2025-09-22 11:44:41] [DEBUG] 心跳维持正常
[2025-09-22 11:44:51] [DEBUG] 心跳维持正常
[2025-09-22 11:45:01] [DEBUG] 心跳维持正常
[2025-09-22 11:45:11] [DEBUG] 心跳维持正常
[2025-09-22 11:45:21] [DEBUG] 心跳维持正常
[2025-09-22 11:45:31] [DEBUG] 心跳维持正常
[2025-09-22 11:45:42] [DEBUG] 心跳维持正常
[2025-09-22 11:45:52] [DEBUG] 心跳维持正常
[2025-09-22 11:46:02] [DEBUG] 心跳维持正常
[2025-09-22 11:46:12] [DEBUG] 心跳维持正常
[2025-09-22 11:46:22] [DEBUG] 心跳维持正常
[2025-09-22 11:46:32] [DEBUG] 心跳维持正常
[2025-09-22 11:46:42] [DEBUG] 心跳维持正常
[2025-09-22 11:46:52] [DEBUG] 心跳维持正常
[2025-09-22 11:47:02] [DEBUG] 心跳维持正常
[2025-09-22 11:47:12] [DEBUG] 心跳维持正常
[2025-09-22 11:47:22] [DEBUG] 心跳维持正常
[2025-09-22 11:47:32] [DEBUG] 心跳维持正常
[2025-09-22 11:47:42] [DEBUG] 心跳维持正常
[2025-09-22 11:47:52] [DEBUG] 心跳维持正常
[2025-09-22 11:48:02] [DEBUG] 心跳维持正常
[2025-09-22 11:48:12] [DEBUG] 心跳维持正常
[2025-09-22 11:48:22] [DEBUG] 心跳维持正常
[2025-09-22 11:48:32] [DEBUG] 心跳维持正常
[2025-09-22 11:48:42] [DEBUG] 心跳维持正常
[2025-09-22 11:48:52] [DEBUG] 心跳维持正常
[2025-09-22 11:49:02] [DEBUG] 心跳维持正常
[2025-09-22 11:49:12] [DEBUG] 心跳维持正常
[2025-09-22 11:49:22] [DEBUG] 心跳维持正常
[2025-09-22 11:49:32] [DEBUG] 心跳维持正常
[2025-09-22 11:49:42] [DEBUG] 心跳维持正常
[2025-09-22 11:49:52] [DEBUG] 心跳维持正常
[2025-09-22 11:50:02] [DEBUG] 心跳维持正常
[2025-09-22 11:50:12] [DEBUG] 心跳维持正常
[2025-09-22 11:50:18] [DEBUG] 收到完整消息: {"op":"block","x":{"txIndexes":[],"nTx":1304,"estimatedBTCSent":0,"totalBTCSent":0,"reward":318041046,"size":1286255,"weight":3993695,"blockIndex":915827,"prevBlockIndex":915826,"height":915827,"hash":"00000000000000000001a1575cb2493421239ff442abe822068464135e1f5eec","mrklRoot":"f629803fb4f86f1757b329ed99bf9faa1764a7860ad596e417655f6c04b5008e","difficulty":0.0,"version":704643072,"time":1758511996,"bits":386005560,"nonce":2663670222,"foundBy":{"description":"","ip":"","link":"","time":0}}}
[2025-09-22 11:50:18] [DEBUG] 成功写入日志: 00000000000000000001a1575cb2493421239ff442abe822068464135e1f5eec|915827|0x2a000000|915826|f629803fb4f86f1757b329ed99bf9faa1764a7860ad596e417655f6c04b5008e|2025-09-22 11:33:16|0x1701fa38|2663670222|2025-09-22 11:50:18
[2025-09-22 11:50:18] [DEBUG] 成功处理区块 #915827
[2025-09-22 11:50:19] [DEBUG] 收到完整消息: {"op":"block","x":{"txIndexes":[],"nTx":2176,"estimatedBTCSent":0,"totalBTCSent":0,"reward":319137584,"size":1441437,"weight":3993411,"blockIndex":915828,"prevBlockIndex":915827,"height":915828,"hash":"0000000000000000000016c74b1aad9bab871dd0963782eb9cd0d51f1268bfbf","mrklRoot":"7cdd520c209e8f5dea322b71a4f75ceb2f7e262563aac18330bcd65abd5da125","difficulty":0.0,"version":621051904,"time":1758512997,"bits":386005560,"nonce":2837809943,"foundBy":{"description":"","ip":"","link":"","time":0}}}
[2025-09-22 11:50:19] [DEBUG] 成功写入日志: 0000000000000000000016c74b1aad9bab871dd0963782eb9cd0d51f1268bfbf|915828|0x25048000|915827|7cdd520c209e8f5dea322b71a4f75ceb2f7e262563aac18330bcd65abd5da125|2025-09-22 11:49:57|0x1701fa38|2837809943|2025-09-22 11:50:19
[2025-09-22 11:50:19] [DEBUG] 成功处理区块 #915828
[2025-09-22 11:50:22] [DEBUG] 心跳维持正常
[2025-09-22 11:50:32] [DEBUG] 心跳维持正常
[2025-09-22 11:50:42] [DEBUG] 心跳维持正常
[2025-09-22 11:50:52] [DEBUG] 心跳维持正常
[2025-09-22 11:51:02] [DEBUG] 心跳维持正常
[2025-09-22 11:51:12] [DEBUG] 心跳维持正常
[2025-09-22 11:51:23] [DEBUG] 心跳维持正常
[2025-09-22 11:51:33] [DEBUG] 心跳维持正常
[2025-09-22 11:51:43] [DEBUG] 心跳维持正常
[2025-09-22 11:51:53] [DEBUG] 心跳维持正常
[2025-09-22 11:52:03] [DEBUG] 心跳维持正常
[2025-09-22 11:52:13] [DEBUG] 心跳维持正常
[2025-09-22 11:52:23] [DEBUG] 心跳维持正常
[2025-09-22 11:52:33] [DEBUG] 心跳维持正常
[2025-09-22 11:52:43] [DEBUG] 心跳维持正常
[2025-09-22 11:52:53] [DEBUG] 心跳维持正常
[2025-09-22 11:53:04] [DEBUG] 心跳维持正常
[2025-09-22 11:53:14] [DEBUG] 心跳维持正常
[2025-09-22 11:53:24] [DEBUG] 心跳维持正常
[2025-09-22 11:53:34] [DEBUG] 心跳维持正常
[2025-09-22 11:53:44] [DEBUG] 心跳维持正常
[2025-09-22 11:53:54] [DEBUG] 心跳维持正常
[2025-09-22 11:54:04] [DEBUG] 心跳维持正常
[2025-09-22 11:54:14] [DEBUG] 心跳维持正常
[2025-09-22 11:54:24] [DEBUG] 心跳维持正常
[2025-09-22 11:54:34] [DEBUG] 心跳维持正常
[2025-09-22 11:54:42] [DEBUG] 收到完整消息: {"op":"block","x":{"txIndexes":[],"nTx":734,"estimatedBTCSent":0,"totalBTCSent":0,"reward":315881902,"size":1141929,"weight":3993678,"blockIndex":915829,"prevBlockIndex":915828,"height":915829,"hash":"000000000000000000013b03b9c9b61af2c1f95a6c436b2b61c2f68ba52e24f6","mrklRoot":"88b977f3aff777ee0c0a0ceb63200d7ce9a1421cbd175a5cc0577f90a6f170e6","difficulty":0.0,"version":612024320,"time":1758513259,"bits":386005560,"nonce":2861567126,"foundBy":{"description":"","ip":"","link":"","time":0}}}
[2025-09-22 11:54:42] [DEBUG] 成功写入日志: 000000000000000000013b03b9c9b61af2c1f95a6c436b2b61c2f68ba52e24f6|915829|0x247ac000|915828|88b977f3aff777ee0c0a0ceb63200d7ce9a1421cbd175a5cc0577f90a6f170e6|2025-09-22 11:54:19|0x1701fa38|2861567126|2025-09-22 11:54:42
[2025-09-22 11:54:42] [DEBUG] 成功处理区块 #915829
[2025-09-22 11:54:44] [DEBUG] 心跳维持正常
[2025-09-22 11:54:55] [DEBUG] 心跳维持正常
[2025-09-22 11:55:05] [DEBUG] 心跳维持正常
[2025-09-22 11:55:15] [DEBUG] 心跳维持正常
[2025-09-22 11:55:25] [DEBUG] 心跳维持正常
[2025-09-22 11:55:35] [DEBUG] 心跳维持正常
[2025-09-22 11:55:45] [DEBUG] 心跳维持正常
[2025-09-22 11:55:55] [DEBUG] 心跳维持正常
[2025-09-22 11:56:05] [DEBUG] 心跳维持正常
[2025-09-22 11:56:15] [DEBUG] 心跳维持正常
[2025-09-22 11:56:25] [DEBUG] 心跳维持正常
[2025-09-22 11:56:36] [DEBUG] 心跳维持正常
[2025-09-22 11:56:46] [DEBUG] 心跳维持正常
[2025-09-22 11:56:56] [DEBUG] 心跳维持正常
[2025-09-22 11:57:06] [DEBUG] 心跳维持正常
[2025-09-22 11:57:16] [DEBUG] 心跳维持正常
[2025-09-22 11:57:26] [DEBUG] 心跳维持正常
[2025-09-22 11:57:36] [DEBUG] 心跳维持正常
[2025-09-22 11:57:46] [DEBUG] 心跳维持正常
[2025-09-22 11:57:56] [DEBUG] 心跳维持正常
[2025-09-22 11:58:06] [DEBUG] 心跳维持正常
[2025-09-22 11:58:16] [DEBUG] 心跳维持正常
[2025-09-22 11:58:27] [DEBUG] 心跳维持正常
[2025-09-22 11:58:37] [DEBUG] 心跳维持正常
[2025-09-22 11:58:47] [DEBUG] 心跳维持正常
[2025-09-22 11:58:57] [DEBUG] 心跳维持正常
[2025-09-22 11:59:07] [DEBUG] 心跳维持正常
[2025-09-22 11:59:17] [DEBUG] 心跳维持正常
[2025-09-22 11:59:27] [DEBUG] 心跳维持正常
[2025-09-22 11:59:37] [DEBUG] 心跳维持正常
[2025-09-22 11:59:47] [DEBUG] 心跳维持正常
[2025-09-22 11:59:57] [DEBUG] 心跳维持正常
[2025-09-22 12:00:07] [DEBUG] 心跳维持正常
[2025-09-22 12:00:18] [DEBUG] 心跳维持正常
[2025-09-22 12:00:28] [DEBUG] 心跳维持正常
[2025-09-22 12:00:38] [DEBUG] 心跳维持正常
[2025-09-22 12:00:48] [DEBUG] 心跳维持正常
[2025-09-22 12:00:58] [DEBUG] 心跳维持正常
[2025-09-22 12:01:08] [DEBUG] 心跳维持正常
[2025-09-22 12:01:18] [DEBUG] 心跳维持正常
[2025-09-22 12:01:28] [DEBUG] 心跳维持正常
[2025-09-22 12:01:38] [DEBUG] 心跳维持正常
[2025-09-22 12:01:48] [DEBUG] 心跳维持正常
[2025-09-22 12:01:58] [DEBUG] 心跳维持正常
[2025-09-22 12:02:08] [DEBUG] 心跳维持正常
[2025-09-22 12:02:19] [DEBUG] 心跳维持正常
[2025-09-22 12:02:29] [DEBUG] 心跳维持正常
[2025-09-22 12:02:39] [DEBUG] 心跳维持正常
[2025-09-22 12:02:49] [DEBUG] 心跳维持正常
[2025-09-22 12:02:59] [DEBUG] 心跳维持正常
[2025-09-22 12:03:09] [DEBUG] 心跳维持正常
[2025-09-22 12:03:19] [DEBUG] 心跳维持正常
[2025-09-22 12:03:29] [DEBUG] 心跳维持正常
[2025-09-22 12:03:39] [DEBUG] 心跳维持正常
[2025-09-22 12:03:49] [DEBUG] 心跳维持正常
[2025-09-22 12:03:59] [DEBUG] 心跳维持正常
[2025-09-22 12:04:09] [DEBUG] 心跳维持正常
[2025-09-22 12:04:19] [DEBUG] 心跳维持正常
[2025-09-22 12:04:29] [DEBUG] 心跳维持正常
[2025-09-22 12:04:39] [DEBUG] 心跳维持正常
[2025-09-22 12:04:49] [DEBUG] 心跳维持正常
[2025-09-22 12:04:59] [DEBUG] 心跳维持正常
[2025-09-22 12:05:09] [DEBUG] 心跳维持正常
[2025-09-22 12:05:19] [DEBUG] 心跳维持正常
[2025-09-22 12:05:29] [DEBUG] 心跳维持正常
[2025-09-22 12:05:39] [DEBUG] 心跳维持正常
[2025-09-22 12:05:50] [DEBUG] 心跳维持正常
[2025-09-22 12:06:00] [DEBUG] 心跳维持正常
[2025-09-22 12:06:10] [DEBUG] 心跳维持正常
[2025-09-22 12:06:20] [DEBUG] 心跳维持正常
[2025-09-22 12:06:30] [DEBUG] 心跳维持正常
[2025-09-22 12:06:40] [DEBUG] 心跳维持正常
[2025-09-22 12:06:50] [DEBUG] 心跳维持正常
[2025-09-22 12:07:00] [DEBUG] 心跳维持正常
[2025-09-22 12:07:10] [DEBUG] 心跳维持正常
[2025-09-22 12:07:20] [DEBUG] 心跳维持正常
[2025-09-22 12:07:30] [DEBUG] 心跳维持正常
[2025-09-22 12:07:40] [DEBUG] 心跳维持正常
[2025-09-22 12:07:50] [DEBUG] 心跳维持正常
[2025-09-22 12:08:00] [DEBUG] 心跳维持正常
[2025-09-22 12:08:10] [DEBUG] 心跳维持正常
[2025-09-22 12:08:20] [DEBUG] 心跳维持正常
[2025-09-22 12:08:30] [DEBUG] 心跳维持正常
[2025-09-22 12:08:40] [DEBUG] 心跳维持正常
[2025-09-22 12:08:50] [DEBUG] 心跳维持正常
[2025-09-22 12:09:00] [DEBUG] 心跳维持正常
[2025-09-22 12:09:10] [DEBUG] 心跳维持正常
[2025-09-22 12:09:20] [DEBUG] 心跳维持正常
[2025-09-22 12:09:30] [DEBUG] 心跳维持正常
[2025-09-22 12:09:40] [DEBUG] 心跳维持正常
[2025-09-22 12:09:50] [DEBUG] 心跳维持正常
[2025-09-22 12:10:00] [DEBUG] 心跳维持正常
[2025-09-22 12:10:10] [DEBUG] 心跳维持正常
[2025-09-22 12:10:20] [DEBUG] 心跳维持正常
[2025-09-22 12:10:30] [DEBUG] 心跳维持正常
[2025-09-22 12:10:40] [DEBUG] 心跳维持正常
[2025-09-22 12:10:50] [DEBUG] 心跳维持正常
[2025-09-22 12:11:00] [DEBUG] 心跳维持正常
[2025-09-22 12:11:10] [DEBUG] 心跳维持正常
[2025-09-22 12:11:20] [DEBUG] 心跳维持正常
[2025-09-22 12:11:31] [DEBUG] 心跳维持正常
[2025-09-22 12:11:41] [DEBUG] 心跳维持正常
[2025-09-22 12:11:51] [DEBUG] 心跳维持正常
[2025-09-22 12:12:01] [DEBUG] 心跳维持正常
[2025-09-22 12:12:11] [DEBUG] 心跳维持正常
[2025-09-22 12:12:21] [DEBUG] 心跳维持正常
[2025-09-22 12:12:31] [DEBUG] 心跳维持正常
[2025-09-22 12:12:41] [DEBUG] 心跳维持正常
[2025-09-22 12:12:51] [DEBUG] 心跳维持正常
[2025-09-22 12:13:01] [DEBUG] 心跳维持正常
[2025-09-22 12:13:11] [DEBUG] 心跳维持正常
[2025-09-22 12:13:21] [DEBUG] 心跳维持正常
[2025-09-22 12:13:31] [DEBUG] 心跳维持正常
[2025-09-22 12:13:41] [DEBUG] 心跳维持正常
[2025-09-22 12:13:51] [DEBUG] 心跳维持正常
